Id:,26138
Estación:,HERMOSILLO I (DGE)-SON
Posición:,29.0730555556N -110.965833333W
Variable:,Evaporación (mm)
Fecha Inicial:,09/01/1966
Fecha Final:,12/01/1992
No Dato:,nan
Mes,Día,Anio,Datos
09,01,1966,null
09,02,1966,null
09,03,1966,null
09,04,1966,null
09,05,1966,null
09,06,1966,null
09,07,1966,null
09,08,1966,null
09,09,1966,9.8
09,10,1966,5.1
09,11,1966,5.6
09,12,1966,4.0
09,13,1966,3.7
09,14,1966,5.3
09,15,1966,4.2
09,16,1966,5.4
09,17,1966,4.8
09,18,1966,8.0
09,19,1966,5.3
09,20,1966,8.8
09,21,1966,7.2
09,22,1966,8.1
09,23,1966,7.9
09,24,1966,7.4
09,25,1966,6.0
09,26,1966,6.1
09,27,1966,9.1
09,28,1966,1.9
09,29,1966,3.6
09,30,1966,5.2
10,01,1966,4.3
10,02,1966,4.6
10,03,1966,6.0
10,04,1966,2.8
10,05,1966,5.0
10,06,1966,7.4
10,07,1966,5.4
10,08,1966,4.9
10,09,1966,5.9
10,10,1966,4.5
10,11,1966,5.1
10,12,1966,5.0
10,13,1966,5.7
10,14,1966,6.9
10,15,1966,6.2
10,16,1966,5.9
10,17,1966,5.5
10,18,1966,7.2
10,19,1966,8.0
10,20,1966,7.0
10,21,1966,6.1
10,22,1966,5.6
10,23,1966,5.2
10,24,1966,6.9
10,25,1966,9.0
10,26,1966,7.0
10,27,1966,6.3
10,28,1966,5.1
10,29,1966,8.7
10,30,1966,6.5
10,31,1966,4.8
11,01,1966,5.2
11,02,1966,4.5
11,03,1966,5.4
11,04,1966,5.3
11,05,1966,5.8
11,06,1966,5.8
11,07,1966,6.1
11,08,1966,5.9
11,09,1966,5.1
11,10,1966,3.5
11,11,1966,3.7
11,12,1966,3.0
11,13,1966,4.0
11,14,1966,3.0
11,15,1966,3.5
11,16,1966,4.1
11,17,1966,5.2
11,18,1966,4.3
11,19,1966,3.1
11,20,1966,5.6
11,21,1966,3.8
11,22,1966,4.6
11,23,1966,2.2
11,24,1966,2.1
11,25,1966,3.0
11,26,1966,2.7
11,27,1966,4.5
11,28,1966,4.0
11,29,1966,4.9
11,30,1966,5.6
12,01,1966,2.4
12,02,1966,4.4
12,03,1966,2.7
12,04,1966,3.5
12,05,1966,2.4
12,06,1966,3.3
12,07,1966,2.8
12,08,1966,3.6
12,09,1966,3.8
12,10,1966,3.2
12,11,1966,6.1
12,12,1966,4.7
12,13,1966,5.6
12,14,1966,3.7
12,15,1966,4.0
12,16,1966,5.8
12,17,1966,3.3
12,18,1966,5.1
12,19,1966,3.8
12,20,1966,1.7
