Id:,26138
Estación:,HERMOSILLO I (DGE)-SON
Posición:,29.0730555556N -110.965833333W
Variable:,Unidades Calor (oD)
Fecha Inicial:,07/01/1965
Fecha Final:,12/01/1992
No Dato:,nan
Mes,Día,Anio,Datos
07,01,1965,null
07,02,1965,null
07,03,1965,null
07,04,1965,null
07,05,1965,null
07,06,1965,null
07,07,1965,null
07,08,1965,null
07,09,1965,null
07,10,1965,null
07,11,1965,null
07,12,1965,null
07,13,1965,19.06
07,14,1965,19.08
07,15,1965,17.77
07,16,1965,19.03
07,17,1965,18.28
07,18,1965,18.58
07,19,1965,19.17
07,20,1965,19.36
07,21,1965,19.16
07,22,1965,19.03
07,23,1965,18.47
07,24,1965,17.65
07,25,1965,19.87
07,26,1965,19.78
07,27,1965,19.22
07,28,1965,18.02
07,29,1965,17.93
07,30,1965,18.99
07,31,1965,19.88
08,01,1965,null
08,02,1965,16.68
08,03,1965,18.71
08,04,1965,18.55
08,05,1965,19.24
08,06,1965,19.77
08,07,1965,17.59
08,08,1965,18.78
08,09,1965,18.79
08,10,1965,19.21
08,11,1965,17.3
08,12,1965,18.78
08,13,1965,17.7
08,14,1965,18.73
08,15,1965,18.68
08,16,1965,18.65
08,17,1965,16.15
08,18,1965,18.41
08,19,1965,17.09
08,20,1965,18.37
08,21,1965,18.6
08,22,1965,18.81
08,23,1965,18.56
08,24,1965,18.31
08,25,1965,19.08
08,26,1965,19.14
08,27,1965,19.29
08,28,1965,19.46
08,29,1965,18.88
08,30,1965,18.05
08,31,1965,null
09,01,1965,null
09,02,1965,16.13
09,03,1965,17.33
09,04,1965,17.3
09,05,1965,17.67
09,06,1965,17.41
09,07,1965,18.41
09,08,1965,18.65
09,09,1965,18.53
09,10,1965,18.5
09,11,1965,18.65
09,12,1965,18.6
09,13,1965,19.06
09,14,1965,17.85
09,15,1965,19.06
09,16,1965,18.37
09,17,1965,18.53
09,18,1965,16.61
09,19,1965,16.82
09,20,1965,17.62
09,21,1965,13.94
09,22,1965,15.28
09,23,1965,17.14
09,24,1965,18.03
09,25,1965,19.39
09,26,1965,19.06
09,27,1965,19.01
09,28,1965,18.09
09,29,1965,16.23
09,30,1965,15.02
10,01,1965,14.18
10,02,1965,14.92
10,03,1965,16.06
10,04,1965,15.6
10,05,1965,16.19
10,06,1965,15.66
10,07,1965,15.97
10,08,1965,15.77
10,09,1965,16.62
10,10,1965,16.35
10,11,1965,17.06
10,12,1965,16.25
10,13,1965,17.45
10,14,1965,16.99
10,15,1965,16.35
10,16,1965,14.71
10,17,1965,13.5
10,18,1965,11.32
10,19,1965,12.96
10,20,1965,14.12
10,21,1965,15.47
10,22,1965,17.25
10,23,1965,15.17
10,24,1965,14.87
10,25,1965,14.85
10,26,1965,14.71
10,27,1965,16.99
10,28,1965,15.77
10,29,1965,14.95
10,30,1965,14.64
10,31,1965,12.75
11,01,1965,13.7
11,02,1965,13.06
11,03,1965,13.57
11,04,1965,12.96
11,05,1965,14.72
11,06,1965,15.55
11,07,1965,14.79
11,08,1965,11.75
11,09,1965,12.26
11,10,1965,12.07
11,11,1965,11.4
11,12,1965,11.57
11,13,1965,11.0
11,14,1965,12.12
11,15,1965,11.32
11,16,1965,11.22
11,17,1965,10.25
11,18,1965,12.0
11,19,1965,12.4
11,20,1965,12.81
11,21,1965,11.5
11,22,1965,11.0
11,23,1965,14.07
11,24,1965,13.59
11,25,1965,11.25
11,26,1965,10.0
11,27,1965,8.5
11,28,1965,8.25
11,29,1965,5.22
11,30,1965,7.75
12,01,1965,8.0
12,02,1965,6.0
12,03,1965,10.0
12,04,1965,14.0
12,05,1965,15.2
12,06,1965,12.71
12,07,1965,12.31
12,08,1965,12.0
12,09,1965,10.0
12,10,1965,8.0
12,11,1965,6.25
12,12,1965,6.0
12,13,1965,5.0
12,14,1965,4.3
