Id:,26140
Estación:,HERMOSILLO (FFCC)-SON
Posición:,29.0958333333N -110.931944444W
Variable:,Unidades Calor (oD)
Fecha Inicial:,01/01/1973
Fecha Final:,01/01/1979
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1973,2.07
01,02,1973,0.97
01,03,1973,2.14
01,04,1973,2.0
01,05,1973,2.14
01,06,1973,2.87
01,07,1973,null
01,08,1973,3.19
01,09,1973,4.4
01,10,1973,3.94
01,11,1973,6.19
01,12,1973,6.3
01,13,1973,7.51
01,14,1973,null
01,15,1973,5.62
01,16,1973,6.09
01,17,1973,4.98
01,18,1973,6.19
01,19,1973,3.94
01,20,1973,4.07
01,21,1973,null
01,22,1973,1.94
01,23,1973,2.63
01,24,1973,3.1
01,25,1973,3.28
01,26,1973,2.38
01,27,1973,5.13
01,28,1973,null
01,29,1973,5.28
01,30,1973,4.63
01,31,1973,3.77
02,01,1973,4.07
02,02,1973,4.83
02,03,1973,8.27
02,04,1973,null
02,05,1973,null
02,06,1973,6.79
02,07,1973,4.0
02,08,1973,6.0
02,09,1973,5.81
02,10,1973,5.56
02,11,1973,null
02,12,1973,4.5
02,13,1973,3.77
02,14,1973,4.23
02,15,1973,4.07
02,16,1973,3.77
02,17,1973,5.44
02,18,1973,null
02,19,1973,5.44
02,20,1973,1.97
02,21,1973,3.0
02,22,1973,9.0
02,23,1973,5.81
02,24,1973,7.6
02,25,1973,null
02,26,1973,8.48
02,27,1973,9.0
02,28,1973,7.5
03,01,1973,7.78
03,02,1973,7.11
03,03,1973,7.78
03,04,1973,null
03,05,1973,4.13
03,06,1973,4.69
03,07,1973,4.69
03,08,1973,5.08
03,09,1973,2.91
03,10,1973,5.44
03,11,1973,null
03,12,1973,2.87
03,13,1973,2.57
03,14,1973,2.01
03,15,1973,2.33
03,16,1973,6.84
03,17,1973,8.22
03,18,1973,null
03,19,1973,8.76
03,20,1973,6.04
03,21,1973,null
03,22,1973,5.34
03,23,1973,6.53
03,24,1973,6.3
03,25,1973,null
03,26,1973,5.15
03,27,1973,4.4
03,28,1973,7.74
03,29,1973,3.65
03,30,1973,3.77
03,31,1973,4.4
04,01,1973,null
04,02,1973,4.87
04,03,1973,5.15
04,04,1973,7.5
04,05,1973,7.0
04,06,1973,6.78
04,07,1973,6.78
04,08,1973,null
04,09,1973,8.71
04,10,1973,8.71
04,11,1973,9.26
04,12,1973,9.66
04,13,1973,9.66
04,14,1973,11.42
04,15,1973,null
04,16,1973,7.78
04,17,1973,7.99
04,18,1973,6.79
04,19,1973,6.79
04,20,1973,9.0
04,21,1973,8.76
04,22,1973,null
04,23,1973,7.99
04,24,1973,9.26
04,25,1973,11.13
04,26,1973,11.13
04,27,1973,12.26
04,28,1973,12.22
04,29,1973,null
04,30,1973,11.5
05,01,1973,null
05,02,1973,12.5
05,03,1973,11.13
05,04,1973,11.13
05,05,1973,null
05,06,1973,null
05,07,1973,10.0
05,08,1973,11.03
05,09,1973,11.73
05,10,1973,13.96
05,11,1973,13.16
05,12,1973,13.44
05,13,1973,null
05,14,1973,12.22
05,15,1973,13.44
